Description,Lengths,Weight,Code,A
6x12.5,480.0,500# ea.,SWF06125,
6x12.5,480.0,500# ea.,SWF06125,
6x12.5,480.0,500# ea.,SWF06125,
8x13,288.0,533# ea.,SWF0813,3.84
8x13,300.0,325# ea.,USBEAM,3.84
8x15,276.0,345# ea.,SWF0815,4.44
8x15,324.0,405# ea.,USBEAM,4.44
8x18,176.0,264# ea.,USBEAM,5.26
8x18.4,480.0,736# ea.,SWF8184,
8x18.4,480.0,736# ea.,SWF8184,
8x21,144.0,252# ea.,USBEAM,6.16
8x21,216.0,378# ea.,USBEAM,6.16
8x21,216.0,378# ea.,USBEAM,6.16
8x21,216.0,378# ea.,USBEAM,6.16
8x21,269.0,471# ea.,USBEAM,6.16
8x21,362.0,634# ea.,USBEAM,6.16
8x31,84.0,217# ea.,USBEAM,9.13
8x31,84.0,217# ea.,USBEAM,9.13
8x31,95.0,245# ea.,USBEAM,9.13
8x31,95.0,245# ea.,USBEAM,9.13
8x31,95.0,245# ea.,USBEAM,9.13
8x31,96.0,248# ea.,USBEAM,9.13
8x31,96.0,248# ea.,USBEAM,9.13
8x31,96.0,248# ea.,USBEAM,9.13
8x31,96.0,248# ea.,USBEAM,9.13
8x31,96.0,248# ea.,USBEAM,9.13
8x31,96.0,248# ea.,USBEAM,9.13
8x31,120.0,310# ea.,USBEAM,9.13
8x31,120.0,310# ea.,USBEAM,9.13
8x31,121.0,313# ea.,USBEAM,9.13
8x31,136.0,351# ea.,USBEAM,9.13
8x31,136.0,351# ea.,USBEAM,9.13
8x31,138.0,357# ea.,USBEAM,9.13
8x31,143.0,369# ea.,USBEAM,9.13
8x31,144.0,372# ea.,USBEAM,9.13
8x31,144.0,372# ea.,USBEAM,9.13
8x31,144.0,372# ea.,USBEAM,9.13
8x31,144.0,372# ea.,USBEAM,9.13
8x31,144.0,372# ea.,USBEAM,9.13
8x31,144.0,372# ea.,USBEAM,9.13
8x31,144.0,372# ea.,USBEAM,9.13
