Description,Lengths,Weight,Code,A
6x12,177,177# ea.,SWF0612,3.55
6x12,144,150# ea.,SWF06125,3.55
6x12,480,500# ea.,SWF06125,3.55
6x12,480,500# ea.,SWF06125,3.55
6x15,240,300# ea.,SWF0615,4.43
6x20,91,152# ea.,SWF0620,5.87
6x25,104,217# ea.,SWF0625,7.34
6x25,121,252# ea.,SWF0625,7.34
8x10,307,256# ea.,SWF0810,2.96
8x13,64,69# ea.,SWF0813,3.84
8x13,79,86# ea.,SWF0813,3.84
8x13,79,86# ea.,SWF0813,3.84
8x15,93,116# ea.,SWF0815,4.44
8x15,132,165# ea.,SWF0815,4.44
8x15,276,345# ea.,SWF0815,4.44
8x18,480,736# ea.,SWF8184,5.26
8x18,480,736# ea.,SWF8184,5.26
8x21,133,233# ea.,SWF0821,6.16
8x21,144,252# ea.,USBEAM,6.16
8x21,171,299# ea.,SWF0821,6.16
8x21,216,378# ea.,USBEAM,6.16
8x21,216,378# ea.,USBEAM,6.16
8x21,216,378# ea.,USBEAM,6.16
8x21,269,471# ea.,USBEAM,6.16
8x21,362,634# ea.,USBEAM,6.16
8x23,284,544# ea.,SWF0823,
8x24,135,270# ea.,SWF0824,7.08
8x24,135,270# ea.,SWF0824,7.08
8x28,120,280# ea.,SWF0828,8.25
8x31,84,217# ea.,USBEAM,9.13
8x31,84,217# ea.,USBEAM,9.13
8x31,95,245# ea.,USBEAM,9.13
8x31,96,248# ea.,USBEAM,9.13
8x31,96,248# ea.,USBEAM,9.13
8x31,96,248# ea.,USBEAM,9.13
8x31,96,248# ea.,USBEAM,9.13
8x31,96,248# ea.,USBEAM,9.13
8x31,96,248# ea.,USBEAM,9.13
8x31,120,310# ea.,USBEAM,9.13
8x31,120,310# ea.,USBEAM,9.13
8x31,121,313# ea.,USBEAM,9.13
8x31,136,351# ea.,USBEAM,9.13
8x31,136,351# ea.,USBEAM,9.13
8x31,138,357# ea.,USBEAM,9.13
8x31,143,369# ea.,USBEAM,9.13
8x31,144,372# ea.,USBEAM,9.13
8x31,144,372# ea.,USBEAM,9.13
8x31,144,372# ea.,USBEAM,9.13
8x31,144,372# ea.,USBEAM,9.13
8x31,144,372# ea.,USBEAM,9.13
8x31,144,372# ea.,USBEAM,9.13
8x31,144,372# ea.,USBEAM,9.13
8x31,144,372# ea.,USBEAM,9.13
8x31,144,372# ea.,USBEAM,9.13
8x31,144,372# ea.,USBEAM,9.13
8x31,144,372# ea.,USBEAM,9.13
8x31,144,372# ea.,USBEAM,9.13
8x31,149,385# ea.,USBEAM,9.13
8x31,150,388# ea.,USBEAM,9.13
8x31,153,395# ea.,USBEAM,9.13
8x31,180,465# ea.,SWF0831,9.13
8x31,180,465# ea.,SWF0831,9.13
8x31,180,465# ea.,SWF0831,9.13
8x31,300,775# ea.,SWF0831,9.13
8x31,480,"1,240# ea.",SWF0831,9.13
8x40,300,"1,000# ea.",SWF0840,11.7
8x40,345,"1,150# ea.",SWF0840,11.7
8x40,420,"1,400# ea.",SWF0840,11.7
8x48,159,636# ea.,USBEAM,14.1
8x58,360,"1,740# ea.",SWF0858,17.1
10x12,113,113# ea.,SWF1012,3.54
10x12,136,136# ea.,SWF1012,3.54
10x12,146,146# ea.,SWF1012,3.54
10x15,108,135# ea.,SWF1015,4.41
10x19,324,513# ea.,SWF1019,5.62
10x19,600,950# ea.,SWF1019,5.62
10x19,600,950# ea.,SWF1019,5.62
10x19,600,950# ea.,SWF1019,5.62
10x22,164,301# ea.,SWF1022,6.49
10x25,335,709# ea.,SWF10254,
10x30,292,730# ea.,USBEAM,8.84
10x33,180,495# ea.,SWF1033,9.71
10x35,180,495# ea.,SWF1035,
10x60,102,510# ea.,SWF1060,17.7
10x68,144,816# ea.,USBEAM,19.9
10x68,215,"1,218# ea.",SWF1068,19.9
12x14,204,238# ea.,USBEAM,4.16
12x16,120,160# ea.,SWF1216,4.71
12x22,252,462# ea.,USBEAM,6.48
12x26,201,436# ea.,SWF1226,7.65
12x26,240,520# ea.,SWF1226,7.65
12x26,540,"1,170# ea.",SWF1226,7.65
12x35,300,875# ea,SWF1235,10.3
12x40,72,240# ea,USBEAM,11.7
12x53,154,680# ea.,SWF1253,15.6
12x53,179,791# ea.,SWF1253,15.6
12x58,120,580# ea.,SWF1258,17.0
12x58,125,604# ea.,SWF1258,17.0
12x72,185,"1,110# ea",SWF1272,21.1
12x72,248,"1,488# ea",USBEAM,21.1
12x79,182,"1,198# ea",SWF1279,23.2
12x87,260,"1,885# ea",SWF1287,25.6
12x87,360,"2,610# ea",USBEAM,25.6
12x106,180,"1,590# ea",SWF12106,31.2
12x210,175,"3,062# ea",USBEAM,61.8
12x252,206,"4,326# ea",USBEAM,74.1
14x22,109,200# ea,SWF1422,6.49
14x22,113,207# ea,SWF1422,6.49
14x22,300,550# ea,USBEAM,6.49
14x30,170,425# ea,SWF1430,8.85
14x30,190,475# ea,SWF1430,8.85
14x30,195,488# ea,USBEAM,8.85
14x30,197,493# ea,SWF1430,8.85
14x30,328,820# ea,SWF1430,8.85
14x30,329,823# ea,SWF1430,8.85
14x34,151,428# ea,SWF1434,10.0
14x34,175,496# ea,SWF1434,10.0
14x34,284,805# ea,USBEAM,10.0
14x38,146,462# ea,USBEAM,11.2
14x43,360,"1,290# ea",USBEAM,12.6
14x68,372,"2,108# ea",WF1468,20.0
14x89,180,"1,335# ea",USBEAM,
14x90,408,"3,060# ea",SWF1490,26.5
