Description,Pieces,Lengths,Weight,Code
6x12,1,177,177# ea.,SWF0612
6x12,1,144,150# ea.,SWF06125
6x12,2,480,500# ea.,SWF06125
6x15,1,240,300# ea.,SWF0615
6x20,1,379,632# ea.,SWF0620
6x25,1,104,217# ea.,SWF0625
6x25,1,121,252# ea.,SWF0625
8x10,1,307,256# ea.,SWF0810
8x13,1,64,69# ea.,SWF0813
8x13,2,79,86# ea.,SWF0813
8x15,1,93,116# ea.,SWF0815
8x15,1,132,165# ea.,SWF0815
8x15,1,276,345# ea.,SWF0815
8x18,1,176,264# ea.,USBEAM
8x18,2,480,736# ea.,SWF8184
8x21,1,133,233# ea.,SWF0821
8x21,1,144,252# ea.,USBEAM
8x21,1,171,299# ea.,SWF0821
8x21,3,216,378# ea.,USBEAM
8x21,1,269,471# ea.,USBEAM
8x21,1,362,634# ea.,USBEAM
8x23,1,284,544# ea.,SWF0823
8x24,2,135,270# ea.,SWF0824
8x28,1,120,280# ea.,SWF0828
8x31,2,84,217# ea.,USBEAM
8x31,1,95,245# ea.,USBEAM
8x31,6,96,248# ea.,USBEAM
8x31,2,120,310# ea.,USBEAM
8x31,1,121,313# ea.,USBEAM
8x31,2,136,351# ea.,USBEAM
8x31,1,138,357# ea.,USBEAM
8x31,1,143,369# ea.,USBEAM
8x31,12,144,372# ea.,USBEAM
8x31,1,149,385# ea.,USBEAM
8x31,1,150,388# ea.,USBEAM
8x31,1,153,395# ea.,USBEAM
8x31,3,180,465# ea.,SWF0831
8x31,1,300,775# ea.,SWF0831
8x31,1,480,"1,240# ea.",SWF0831
8x40,1,300,"1,000# ea.",SWF0840
8x40,1,345,"1,150# ea.",SWF0840
8x40,1,420,"1,400# ea.",SWF0840
8x48,1,159,636# ea.,USBEAM
8x48,1,211,844# ea.,SWF0848
8x58,1,360,"1,740# ea.",SWF0858
10x12,1,113,113# ea.,SWF1012
10x12,1,136,136# ea.,SWF1012
10x12,1,146,146# ea.,SWF1012
10x15,1,108,135# ea.,SWF1015
10x19,1,324,513# ea.,SWF1019
10x19,3,600,950# ea.,SWF1019
10x22,1,164,301# ea.,SWF1022
10x25,1,335,709# ea.,SWF10254
10x30,1,292,730# ea.,USBEAM
10x33,1,180,495# ea.,SWF1033
10x35,1,180,495# ea.,SWF1035
10x60,1,102,510# ea.,SWF1060
10x68,1,144,816# ea.,USBEAM
10x68,1,215,"1,218# ea.",SWF1068
12x14,1,204,238# ea.,USBEAM
12x16,1,120,160# ea.,SWF1216
12x22,1,252,462# ea.,USBEAM
12x26,1,201,436# ea.,SWF1226
12x26,1,240,520# ea.,SWF1226
12x26,1,540,"1,170# ea.",SWF1226
12x35,1,300,875# ea,SWF1235
12x40,1,72,240# ea,USBEAM
12x53,1,154,680# ea.,SWF1253
12x53,1,179,791# ea.,SWF1253
12x58,1,120,580# ea.,SWF1258
12x58,1,125,604# ea.,SWF1258
12x72,1,185,"1,110# ea",SWF1272
12x72,1,248,"1,488# ea",USBEAM
12x79,1,182,"1,198# ea",SWF1279
12x87,1,260,"1,885# ea",SWF1287
12x87,1,360,"2,610# ea",USBEAM
12x106,1,180,"1,590# ea",SWF12106
12x210,1,175,"3,062# ea",USBEAM
12x252,1,206,"4,326# ea",USBEAM
14x22,1,109,200# ea,SWF1422
14x22,1,113,207# ea,SWF1422
14x22,1,300,550# ea,USBEAM
14x30,1,170,425# ea,SWF1430
14x30,1,190,475# ea,SWF1430
14x30,1,195,488# ea,USBEAM
14x30,1,197,493# ea,SWF1430
14x30,1,328,820# ea,SWF1430
14x30,1,329,823# ea,SWF1430
14x34,1,151,428# ea,SWF1434
14x34,1,175,496# ea,SWF1434
14x34,1,284,805# ea,USBEAM
14x38,1,146,462# ea,USBEAM
14x43,1,360,"1,290# ea",USBEAM
14x68,1,372,"2,108# ea",WF1468
14x89,1,180,"1,335# ea",USBEAM
14x90,1,293,"2,198# ea",USBEAM
14x90,1,408,"3,060# ea",SWF1490
14x90,3,552,"4,140# ea",SWF1490
14x99,1,114,941# ea,SWF1499
14x109,1,131,"1,190# ea",SWF14109
14x132,1,139,"1,529# ea",SWF14132
14x145,1,240,"2,900# ea",SWF14145
14x159,1,480,"6,360# ea",SWF14159
14x159,4,508,"6,731# ea",SWF14159
14x159,4,512,"6,784# ea",SWF14159
14x233,1,186,"3,612# ea",SWF14233
16x26,1,95,206# ea.,SWF1626
16x26,1,108,234# ea.,SWF1626
16x31,1,228,589# ea.,SWF1631
16x36,1,175,525# ea.,SWF1636
16x36,1,183,549# ea.,SWF1636
16x40,1,191,637# ea.,SWF1640
16x50,1,157,654# ea.,SWF1650
16x67,2,472,"2,636# ea.",SWF1667
16x67,2,476,"2,658# ea.",SWF1667
16x67,1,479,"2,674# ea.",SWF1667
18x35,1,96,315# ea,USBEAM
18x35,1,108,315# ea.,SWF1835
18x35,1,122,356# ea.,SWF1835
18x35,1,162,473# ea,SWF1835
18x35,1,163,475# ea,SWF1835
18x35,1,480,"1,400# ea.",SWF1835
18x40,1,104,347# ea.,SWF1840
18x40,1,142,473# ea,USBEAM
18x40,1,201,670# ea.,SWF1840
18x46,1,178,682# ea,USBEAM
18x50,1,182,758# ea.,SWF1850
18x50,1,240,"1,000# ea.",SWF1850
18x54,1,256,"1,167# ea.",SWF18547
18x55,1,214,981# ea.,SWF1855
18x60,1,238,"1,172# ea.",SWF1860
18x76,2,134,849# ea.,SWF1876
18x76,1,273,"1,729# ea.",SWF1876
18x97,1,170,"1,374# ea",USBEAM
