Description,Pieces,Lengths,Weight,Code
6 x 12.5# I-Beam,1,12',150# ea.,SWF06125
6 x 12.5# I-Beam,2,40',500# ea.,SWF06125
6 x 15#,1,20',300# ea.,SWF0615
6 x 20#,1,"31' 7""",632# ea.,SWF0620
8 x 13#,1,24',533# ea.,SWF0813
8 x 13#,1,25',325# ea.,USBEAM
8 x 15#,1,23',345# ea.,SWF0815
8 x 18# ( w/Holes ),1,"14' 8""",264# ea.,USBEAM
8 x 18.4# I-Beam,2,40',736# ea.,SWF8184
8 x 21#,1,12',252# ea.,USBEAM
8 x 21#,3,18',378# ea.,USBEAM
8 x 21#,1,"22' 5""",471# ea.,USBEAM
8 x 21#,1,"30' 2""",634# ea.,USBEAM
8 x 24#,2,"11' 3""",270# ea.,SWF0824
8 x 28#,1,30',840# ea.,SWF0828
8 x 31#,2,7',217# ea.,USBEAM
8 x 31#,1,"7' 11""",245# ea.,USBEAM
8 x 31#,6,8',248# ea.,USBEAM
8 x 31#,2,10',310# ea.,USBEAM
8 x 31#,1,"10' 1""",313# ea.,USBEAM
8 x 31#,2,"11' 4""",351# ea.,USBEAM
8 x 31#,1,"11' 6""",357# ea.,USBEAM
8 x 31#,1,"11' 11""",369# ea.,USBEAM
8 x 31#,12,12',372# ea.,USBEAM
8 x 31#,1,"12' 5""",385# ea.,USBEAM
8 x 31#,1,"12' 6""",388# ea.,USBEAM
8 x 31#,1,"12' 9""",395# ea.,USBEAM
8 x 31#,3,15',465# ea.,SWF0831
8 x 31#,1,25',775# ea.,SWF0831
8 x 31#,1,40',"1,240# ea.",SWF0831
8 x 40#,1,25',"1,000# ea.",SWF0840
8 x 40#,1,"28' 9""","1,150# ea.",SWF0840
8 x 40#,1,35',"1,400# ea.",SWF0840
8 x 48# (w/Holes in Web),1,"13' 3""",636# ea.,USBEAM
8 x 58#,1,30',"1,740# ea.",SWF0858
10 x 12#,1,"11' 4""",136# ea.,SWF1012
10 x 12#,1,"12' 2""",146# ea.,SWF1012
10 x 19#,1,27',513# ea.,SWF1019
10 x 19#,3,50',950# ea.,SWF1019
10 x 30# ( Primed ),1,"24' 4""",730# ea.,USBEAM
10 x 68#,1,12',816# ea.,USBEAM
10 x 68#,1,"17' 11""","1,218# ea.",SWF1068
12 x 14# ( Actual Length x 20' ),1,17',238# ea.,USBEAM
12 x 16#,1,10',160# ea.,SWF1216
12 x 22# (Loc 275 ),1,21',462# ea.,USBEAM
12 x 26#,1,20',520# ea.,SWF1226
12 x 26#,1,45',"1,170# ea.",SWF1226
12 x 40#,1,6',240# ea,USBEAM
12 x 58#,1,10',580# ea.,SWF1258
12 x 58#,1,"10' 5""",604# ea.,SWF1258
12 x 65#,1,"20' 7""","1,338# ea.",SWF1265
12 x 72#,1,"20' 8""","1,488# ea",USBEAM
12 x 87#,1,"21' 8""","1,885# ea",SWF1287
12 x 87#,1,30',"2,610# ea",USBEAM
12 x 96#,1,35',"3,360# ea",SWF1296
12 x 210#,1,"14' 7""","3,062# ea",USBEAM
12 x 252#,1,"17' 2""","4,326# ea",USBEAM
14 x 22#,1,"9' 5""",207# ea,SWF1422
14 x 22#,1,25',550# ea,USBEAM
14 x 30#,1,"14' 2""",425# ea,SWF1430
14 x 30#,1,"15' 10""",475# ea,SWF1430
14 x 30# (Dented in Flange),1,"16' 3""",488# ea,USBEAM
14 x 30#,1,"16' 5""",493# ea,SWF1430
14 x 34#,1,"14' 7""",496# ea,SWF1434
14 x 34#,1,"23' 8""",805# ea,USBEAM
14 x 34#,1,50',"1,700# ea",USBEAM
14 x 38#,1,"12' 2""",462# ea,USBEAM
14 x 43#,1,30',"1,290# ea",USBEAM
14 x 68# ( Holes in Flange ),1,31',"2,108# ea",WF1468
14 x 89# H-Pile,1,15',"1,335# ea",USBEAM
14 x 90# ( Primed ),1,"24' 5""","2,198# ea",USBEAM
14 x 90#,1,34',"3,060# ea",SWF1490
14 x 90#,5,46',"4,140# ea",SWF1490
14 x 159#,1,40',"6,360# ea",SWF14159
14 x 159#,3,"42' 4""","6,731# ea",SWF14159
14 x 159#,4,"42' 8""","6,784# ea",SWF14159
16 x 31#,1,19',589# ea.,SWF1631
16 x 36#,1,"15' 3""",549# ea.,SWF1631
16 x 50#,1,"13' 1""",654# ea.,SWF1650
18 x 35# w/Holes & Attachments,1,8',315# ea,USBEAM
18 x 35#,1,9',315# ea.,SWF1835
18 x 35#,1,"13' 6""",473# ea,SWF1835
18 x 35#,1,40',"1,400# ea.",SWF1835
18 x 40#,1,"11' 10""",473# ea,USBEAM
18 x 40#,1,"16' 9""",670# ea.,SWF1840
18 x 46#,1,"14' 10""",682# ea,USBEAM
18 x 50#,1,20',"1,000# ea.",SWF1850
18 x 55#,1,"17' 10""",981# ea.,SWF1855
18 x 60#,1,"19' 10""","1,172# ea.",SWF1860
18 x 76#,1,"22' 9""","1,729# ea.",SWF1876
18 x 97#,1,"14' 2""","1,374# ea",USBEAM
18 x 119#,1,"21' 5""","2,549# ea",USBEAM
18 x 143#,1,"20' 6""","2,932# ea",USBEAM
18 x 143#,1,"26' 4""","3,766# ea",USBEAM
21 x 44#,3,"14' 1""",620# ea,SWF2144
21 x 44#,1,"21' 8""",953# ea,SWF2144
21 x 48#,1,"20' 6""",984# ea,USBEAM
21 x 50#,1,"8' 3""",413# ea,USBEAM
21 x 50#,1,"14' 9""",738# ea,USBEAM
21 x 55#,1,20',"1,100# ea",USBEAM
21 x 62#,1,16',992# ea,USBEAM
21 x 62#,1,"26' 8""","1,653# ea",SWF2162
21 x 68#,1,"11' 10""",805# ea,SWF2168
21 x 68#,1,"15' 4""","1,043# ea",USBEAM
21 x 68#,1,"18' 5""","1,252# ea",USBEAM
21 x 68#,1,23',"1,564# ea",USBEAM
21 x 68#,2,"23' 3""","1,581# ea",USBEAM
21 x 68# Heavy Rust,1,"30' 2""","2,051# ea",USBEAM
21 x 73#,1,"23' 2""","1,691# ea",SWF2173
21 x 83#,1,"19' 6""","1,619# ea",USBEAM
21 x 83#,1,21',"1,743# ea",USBEAM
21 x 93#,1,"16' 9""","1,558# ea",USBEAM
21 x 147#,6,40',"5,880# ea",SWF21147
24 x 55#,2,42',"2,310# ea",SWF2455
24 x 62#,1,"11' 7""",718# ea,USBEAM
24 x 62#,1,"14' 6""",899# ea,USBEAM
24 x 62#,1,"18' 8""","1,157# ea.",SWF2462
24 x 62#,1,"25' 6""","1,581# ea",SWF2462
24 x 68#,1,25',"1,700# ea",USBEAM
24 x 84#,1,"22' 7""","1,897# ea",USBEAM
24 x 94#,1,"22' 3""","2,092# ea",USBEAM
24 x 94#,1,40',"3,760# ea",USBEAM
24 x 117#,1,"16' 8""","1,950# ea",USBEAM
24 x 117#,1,"19' 3""","2,252# ea",USBEAM
24 x 131#,1,"14' 1""","1,845# ea",USBEAM
24 x 131#,1,"14' 8""","1,921# ea",USBEAM
24 x 131#,1,"18' 2""","2,380# ea",USBEAM
24 x 131#,1,29',"3,799# ea",SWF24131
24 x 146#,1,"25' 6""","3,723# ea",SWF24146
27 x 84#,1,"13' 9""","1,155# ea",USBEAM
